Rank,Gene,Importance Score,Valid Target
932,MT-ND4L,0.0,False
933,MT-ND5,0.0,False
934,MT-ND6,0.0,False
935,MT2A,0.0,False
936,MTCH1,0.0,False
937,MTDH,0.0,False
938,MTPN,0.0,False
939,MTSS1,0.0,False
940,MUC1,0.0,False
941,MUC16,0.0,True
942,MUC2,0.0,False
943,MUC5B,0.0,False
944,MUC6,0.0,False
945,MUCL1,0.0,False
946,MVP,0.0,False
947,MX1,0.0,False
948,MYBPC1,0.0,False
949,MYBPC2,0.0,False
950,MYC,0.0,True
951,MYH1,0.0,False
952,MYH11,0.0,False
953,MYH14,0.0,False
954,MYH2,0.0,False
955,MYH7,0.0,False
956,MYH9,0.0,False
957,MYL1,0.0,False
958,MYL12A,0.0,False
959,MYL12B,0.0,False
960,MYL2,0.0,False
961,MYL3,0.0,False
962,MYL6,0.0,False
963,MYL9,0.0,False
964,MYLK,0.0,False
965,MYLPF,0.0,False
966,MYO1B,0.0,False
967,MYO1C,0.0,False
968,MYO1D,0.0,False
969,MYO6,0.0,False
970,MYOF,0.0,False
971,MYOM1,0.0,False
972,MYOM2,0.0,False
973,MYOT,0.0,False
974,MYOZ1,0.0,False
975,NACA,0.0,False
976,NAMPT,0.0,False
977,NAP1L1,0.0,False
978,NAT1,0.0,False
979,NBR1,0.0,False
980,NCAPD2,0.0,False
981,NCKAP1,0.0,False
982,NCL,0.0,False
983,NCOA2,0.0,False
984,NCOA4,0.0,False
985,NCSTN,0.0,False
986,NDFIP1,0.0,False
987,NDRG1,0.0,False
